CreatedByDsc,CreatedByName,DefaultUoMIdDsc,DefaultUoMIdName,DefaultUoMScheduleIdDsc,DefaultUoMScheduleIdName,ModifiedByDsc,ModifiedByName,OrganizationIdDsc,OrganizationIdName,PriceLevelIdDsc,PriceLevelIdName,SubjectIdDsc,SubjectIdName,DeletionStateCode,Name,Description,ProductTypeCode,ProductUrl,Price,IsKit,ProductNumber,Size,CurrentCost,StockVolume,StandardCost,StockWeight,QuantityDecimal,QuantityOnHand,IsStockItem,SupplierName,VendorName,VendorPartNumber,CreatedOn,ModifiedOn,StateCode,StatusCode
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,"Cadre HL Route - Noir, 58","Notre meilleur cadre et le plus léger. Fabriqué avec le tout dernier alliage du marché, il est soudé et traité thermiquement pour une meilleure solidité. Notre design innovant apporte des performances et un confort maximum.",1,,"1 431,50",FALSE,FR-R92B-58,58,"1 207,61",,"1 059,31","2,24",0,,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vélos de route,Actif,"Route-250 Rouge, 44","Avec son cadre en aluminium léger très confortable, ce vélo répondra à vos exigences au vélodrome ou sur les routes de campagne avec votre club de cyclisme.",1,,"2 443,35",FALSE,BK-R89R-44,44,"1 844,24",,"1 808,08",1 477 273,0,163,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Each,0,Général,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,Guidon VTT HL,Guidon plat dont la solidité est adaptée aux parcours professionnels.,1,,"120,27",FALSE,HB-M918,,"92,56",,"89,00",,0,840,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Inactif,"Cadre HL Route - Rouge, 48","Notre meilleur cadre et le plus léger. Fabriqué avec le tout dernier alliage du marché, il est soudé et traité thermiquement pour une meilleure solidité. Notre design innovant apporte des performances et un confort maximum.",1,,"1 431,50",FALSE,FR-R92R-48,48,"1 207,61",,"1 059,31","2,16",0,,TRUE,,,,24/01/2008,24/01/2008,Inactif,2
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,"Cadre LL Route - Noir, 48","Notre cadre LL apporte le confort et la sécurité de conduite dont vous rêvez, associés à une suspension supérieure, le tout à un prix très agréable.",1,,"337,22",FALSE,FR-R38B-48,48,"284,48",,"249,54","2,36",0,,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,VTT,Actif,"VTT-500 Gris métallisé, 44",Convient à tous les types d'excursion routière ou tout terrain. Parfait pour les petits budgets. Confort de conduite et passage des vitesses en douceur.,1,,"564,99",FALSE,BK-M18S-44,44,"422,27",,"418,09",28 125,0,153,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Each,0,Général,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,Roue avant - Route ML,"En alliage robuste, avec démontage rapide du moyeu.",1,,"248,39",FALSE,FW-R762,,"215,05",,"183,80",850,0,793,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,VTT,Actif,"VTT-300 Noir, 40","Pour les fous de VTT. Un vélo solide qui vous emmènera partout. Avec lui, vous pouvez maîtriser les terrains les plus difficiles, le tout sans casser votre tirelire.",1,,"1 079,99",FALSE,BK-M47B-40,40,"807,18",,"799,19",2 577 273,0,223,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Each,0,Général,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vêtements et accessoires,Actif,Mini-pompe,"Vous l'aimerez pour son faible encombrement : se glisse dans la poche. Tube en aluminium, puissance 1103 kPa.",1,,"19,99",FALSE,PU-0452,,"14,95",,"10,99",,0,288,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Each,0,Général,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,Guidon Route HL,Conçu pour les coureurs. Modèle ergonomique haut de gamme en aluminium.,1,,"120,27",FALSE,HB-R956,,"92,56",,"89,00",,0,811,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vélos de route,Actif,"Route-550-W Jaune, 38","La technologie employée est celle que l'on retrouve sur tous nos vélos de route en série, mais le cadre est conçu pour les femmes. Ce vélo est parfait pour la promenade ou la course.",1,,"1 120,49",FALSE,BK-R64Y-38,38,"845,75",,"829,16","17,35",0,148,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vélos de route,Actif,"Route-650 Noir, 62","Excellent prix pour ce vélo présentant de nombreux équipements de nos meilleurs modèles. Le système d'éclairage, la solidité du cadre et l'accélération rapide sont des caractéristiques qui ont fait notre réputation.",1,,"782,99",FALSE,BK-R50B-62,62,"591,00",,"579,41",20,0,188,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,"Cadre LL VTT - Gris métallisé, 52","Notre meilleur prix, avec la technologie révolutionnaire utilisée pour nos cadres ML en aluminium.",1,,"264,05",FALSE,FR-M21S-52,52,"218,84",,"195,40","3,04",0,,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Single pair,0,Paire d'unités,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vêtements et accessoires,Actif,"Gants entiers, petit (S)","Paumes synthétiques, souplesse aux articulations, mailles aérées sur le dessus. Article porté par les membres de l'équipe de cyclisme AWC.",1,,"37,99",FALSE,GL-F110-S,S,"25,07",,"20,89",,0,72,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vélos de tourisme,Actif,"Tourisme-2000 Bleu, 50",La selle souple a été conçue spécialement pour rouler toute la journée. Vous avez tout loisir d'ajouter des paniers ou des sacoches sur notre dernier modèle de porte-bagages. Ce vélo conserve toute sa stabilité lorsqu'il est chargé.,1,,"1 214,85",FALSE,BK-T44U-50,50,"925,96",,"898,99",2 742 308,0,227,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,VTT,Actif,"VTT-500 Noir, 42",Convient à tous les types d'excursion routière ou tout terrain. Parfait pour les petits budgets. Confort de conduite et passage des vitesses en douceur.,1,,"539,99",FALSE,BK-M18B-42,42,"403,59",,"399,59",2 777 273,0,153,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vélos de route,Actif,"Route-250 Noir, 58","Avec son cadre en aluminium léger très confortable, ce vélo répondra à vos exigences au vélodrome ou sur les routes de campagne avec votre club de cyclisme.",1,,"2 443,35",FALSE,BK-R89B-58,58,"1 844,24",,"1 808,08",1 567 857,0,148,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Each,0,Général,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,Roue arrière - VTT ML,Roue de secours VTT arrière pour le cycliste occasionnel ou plus persévérant.,1,,"236,03",FALSE,RW-M762,,"204,35",,"174,66",,0,812,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Each,0,Général,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vêtements et accessoires,Actif,Pneu Tourisme,Caoutchouc à densité élevée.,1,,"28,99",FALSE,TI-T723,,"21,84",,"15,94",,0,845,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Single pair,0,Paire d'unités,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vêtements et accessoires,Actif,"Chaussettes VTT, medium (M)",Le mélange de fibres synthétiques et naturelles reste sec et apporte tout le confort nécessaire.,1,,"9,50",FALSE,SO-B909-M,M,"6,43",,"5,23",,0,180,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vélos de tourisme,Actif,"Tourisme-3000 Jaune, 44",Ce vélo de toutes les occasions présentant un équipement de base sur le plan du confort et de la sécurité est proposé à un prix avantageux. Ses pneus plus larges offrent une meilleure tenue de route pour les balades en ville ou les sorties le week-end.,1,,"742,35",FALSE,BK-T18Y-44,44,"565,82",,"549,34",2 877 273,0,168,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Each,0,Général,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,Chaîne,Performances supérieures pour les changements de vitesse.,1,,"20,24",FALSE,CH-0234,,"16,03",,"14,98",,0,589,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,VTT,Actif,"VTT-100 Gris métallisé, 38","VTT de compétition haut de gamme. Ses options d'amélioration des performances comprennent le nouveau cadre HL, des suspensions avant ultra-souples et une bonne puissance de traction sur tous les terrains.",1,,"3 399,99",FALSE,BK-M82S-38,38,"2 541,15",,"2 515,99","20,35",0,149,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vélos de tourisme,Actif,"Tourisme-3000 Bleu, 58",Ce vélo de toutes les occasions présentant un équipement de base sur le plan du confort et de la sécurité est proposé à un prix avantageux. Ses pneus plus larges offrent une meilleure tenue de route pour les balades en ville ou les sorties le week-end.,1,,"742,35",FALSE,BK-T18U-58,58,"565,82",,"549,34","29,9",0,204,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Célibataire,0,Vélo et cadre,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Composants,Actif,"Cadre ML VTT-W - Gris métallisé, 40",Notre cadre ML en aluminium traité thermiquement est fabriqué avec le même soin que nos cadres HL. Ses performances sont d'un niveau élevé. Modèle pour femme.,1,,"364,09",FALSE,FR-M63S-40,40,"301,76",,"269,43","2,77",0,,TRUE,,,,24/01/2008,24/01/2008,Actif,1
0,First name Last name,0,Single article,0,Vêtements,0,First name Last name,0,AdventureWorksCycle,0,Commerce de gros,0,Vêtements et accessoires,Actif,"Collants pour femme, petit (S)",Collants chauds en spandex pour les sorties hivernales. Assemblage sans couture de la peau de chamois éliminant les points d'irritation.,1,,"74,99",FALSE,TG-W091-S,S,"51,14",,"41,24",,0,324,TRUE,,,,24/01/2008,24/01/2008,Actif,1
